,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
cicero.de_finibus_bonorum_et_malorum.part.3.txt,7916,330,23.86060606,0.687878788,5.110599078,0.00530571,0.000126326,0.000884285,0.117230925,0.004926731,0.055836281,0.000378979,0.014780192,0.006442648,0.004168772,0.008084891,0.002147549,0,0.018696311,0.060257706,0.000126326,0.004042446,0.000378979,0.000505306,0.00707428,0.011243052,0.001894896,0.018443658
cicero.de_finibus_bonorum_et_malorum.part.4.txt,8569,407,20.96314496,0.574938575,4.871040724,0.005718287,0.000233399,0.000700198,0.106196756,0.004784689,0.062434356,0.000350099,0.013420469,0.007118684,0.010152877,0.005484887,0.003967791,0.000233399,0.021356051,0.062784456,0.0001167,0.003034193,0.000466799,0.0001167,0.004784689,0.012720271,0.002567394,0.015521064
cicero.de_finibus_bonorum_et_malorum.part.5.txt,11094,540,20.47592593,0.524074074,5.221532091,0.004146385,0,0.000721111,0.112763656,0.004506941,0.048855237,0.000630972,0.016134848,0.005408329,0.009644853,0.009013881,0.002614026,9.01E-05,0.026410672,0.061654949,0,0.003605553,0.00153236,9.01E-05,0.01063638,0.011357491,0.002614026,0.018478457
cicero.de_haruspicum_responso.txt,7518,300,25.03666667,0.546666667,6.7,0.002128226,0,0.001862197,0.088321362,0.00292631,0.051343442,0,0.006650705,0.007980846,0.011306198,0.007581804,0.002527268,0.000532056,0.028598031,0.059989359,0,0.001596169,0.000399042,0.000133014,0.005453578,0.008512902,0.007980846,0.008246874
cicero.de_imperio_cn_pompei.txt,6668,239,27.89121339,0.543933054,8.205607477,0.00269946,0,0.00284943,0.091331734,0.00329934,0.044091182,0.00029994,0.014397121,0.00629874,0.0104979,0.00644871,0.00179964,0,0.025044991,0.066736653,0,0.00089982,0.00059988,0.00029994,0.00419916,0.00464907,0.00824835,0.01034793
cicero.de_inventione.part.1.txt,15244,646,23.39628483,0.616099071,5.132176235,0.003870375,6.56E-05,0.000131199,0.107648911,0.004526371,0.054447652,0,0.011611126,0.005182367,0.002558384,0.005182367,0.000393597,0,0.010167935,0.073930727,0,0.004067174,0.000131199,0,0.003804776,0.017449488,0.004198373,0.010430333
cicero.de_inventione.part.2.txt,17259,656,26.19969512,0.632621951,5.047674419,0.004287618,0.000115882,0.000289704,0.102497248,0.003824092,0.05614462,0.000289704,0.01326844,0.004055855,0.001854105,0.007590243,0.000289704,0,0.010545223,0.084072078,0,0.004809085,5.79E-05,0.000115882,0.006373486,0.014311374,0.002491454,0.009791993
cicero.de_lege_agraria_contra_rullum.txt,13792,640,21.525,0.509375,6.49905482,0.002175174,7.25E-05,0.001812645,0.080771462,0.003262761,0.045968677,0.000145012,0.007613109,0.006235499,0.010368329,0.004857889,0.002537703,0.000217517,0.029219838,0.057134571,0,0.000725058,0.000725058,7.25E-05,0.004060325,0.009570766,0.005147912,0.010730858
cicero.de_natura_deorum.part.1.txt,11210,485,23.09484536,0.564948454,7.140271493,0.004371097,0.000178412,0.00205174,0.115521855,0.003389831,0.039429081,0.000267618,0.006512043,0.008831401,0.010793934,0.0058876,0.003657449,0,0.019357716,0.054772525,0,0.003122212,8.92E-05,8.92E-05,0.003389831,0.011418376,0.002230152,0.011953613
cicero.de_natura_deorum.part.2.txt,15452,561,27.51693405,0.634581105,7.825448613,0.004853741,0,0.002718095,0.125097075,0.003882992,0.040641988,0.000517732,0.010160497,0.006536371,0.002394512,0.006342221,0.000517732,0,0.011713694,0.060704116,6.47E-05,0.002976961,0.000906032,6.47E-05,0.004983174,0.006989386,0.003171111,0.013461041
cicero.de_natura_deorum.part.3.txt,9104,369,24.66124661,0.574525745,6.580052493,0.002086995,0.000109842,0.000329525,0.112697715,0.002965729,0.042618629,0.000219684,0.007688928,0.008128295,0.007469244,0.004173989,0.003075571,0.000219684,0.023396309,0.051955185,0,0.00120826,0.000329525,0,0.002855888,0.012961336,0.001098418,0.01142355
cicero.de_officiis.part.1.txt,14486,550,26.33636364,0.669090909,5.276747504,0.004901284,0,0.001380643,0.128192738,0.002278062,0.040452851,0.000345161,0.025541903,0.008076764,0.00096645,0.005384509,6.90E-05,0.000138064,0.010976115,0.066063786,6.90E-05,0.003106448,0.000207097,0.000207097,0.005867734,0.010216761,0.003658705,0.016981914
cicero.de_officiis.part.2.txt,8605,360,23.9,0.630555556,4.926829268,0.004299826,0,0.000697269,0.120162696,0.005461941,0.044509006,0.000348635,0.018128995,0.006042998,0.004997095,0.004532249,0.000464846,0.000232423,0.013364323,0.062405578,0,0.001394538,0.000581058,0.000116212,0.005810575,0.009413132,0.00383498,0.0131319
cicero.de_officiis.part.3.txt,11147,558,19.97670251,0.562724014,4.773897059,0.002691307,0.00017942,0,0.103615323,0.005920876,0.052390778,0.00017942,0.01525074,0.006369427,0.009868126,0.004844353,0.001435364,0.00017942,0.015519871,0.050417153,0,0.001973625,0.000269131,0,0.008612183,0.014174217,0.002511887,0.012559433
cicero.de_optimo_genere_oratorum.txt,1606,74,21.64864865,0.540540541,5.344262295,0.008094645,0,0,0.130759651,0.005603985,0.044209215,0.000622665,0.01867995,0.004358655,0.004358655,0.00871731,0.000622665,0,0.0124533,0.065379826,0.000622665,0.003113325,0.000622665,0,0.00622665,0.016811955,0.005603985,0.018057285
cicero.de_oratore.part.1.txt,18313,410,44.59268293,0.731707317,5.762650602,0.001911211,0.000218424,0.002675695,0.119532572,0.003494785,0.050292142,0.000436848,0.020750287,0.004641511,0.00644351,0.007317206,0.003221755,0.000109212,0.027466827,0.066127887,0,0.00535139,0.00054606,0.000109212,0.004696118,0.01261399,0.005296784,0.010211325
cicero.de_oratore.part.2.txt,27105,738,36.67344173,0.642276423,5.229762878,0.004132079,3.69E-05,0.001438849,0.112451577,0.004316547,0.050691754,0.000405829,0.020070098,0.004537908,0.005681609,0.00693599,0.00269323,0,0.0269323,0.06389965,3.69E-05,0.003099059,0.000442723,3.69E-05,0.00424276,0.013134108,0.003652463,0.016823464
cicero.de_oratore.part.3.txt,16821,480,35,0.633333333,5.759628154,0.005112657,5.94E-05,0.001724035,0.121395874,0.003210273,0.04857024,0.000535045,0.017240354,0.005588253,0.005172106,0.007015041,0.00231853,0.000416146,0.021936865,0.061768028,5.94E-05,0.004577611,0.000237798,0,0.004993758,0.010165864,0.004339813,0.016943107
cicero.de_partitione_oratoria.txt,9964,446,22.30717489,0.571748879,7.032634033,0.004716981,0.000200723,0.001405058,0.142111602,0.003713368,0.036029707,0.000100361,0.03623043,0.004917704,0.004315536,0.006122039,0.001304697,0,0.00772782,0.076073866,0,0.002609394,0.000200723,0.000100361,0.0031112,0.014351666,0.002509033,0.015756724
cicero.de_provinciis_consularibus.txt,5125,179,28.60335196,0.659217877,6.819512195,0.002926829,0.000195122,0.000585366,0.093463415,0.003121951,0.047609756,0.000195122,0.00995122,0.008195122,0.00897561,0.006243902,0,0,0.031804878,0.056390244,0,0.001560976,0.000585366,0.000195122,0.005073171,0.015219512,0.011707317,0.00897561
cicero.de_republica.txt,22261,926,24.02591793,0.517278618,5.59010989,0.002740218,0.000134765,0.001033197,0.11064193,0.005255829,0.045460671,0.000134765,0.010197206,0.00557028,0.00642379,0.006828085,0.002425767,0.000179686,0.019855352,0.055702799,0,0.002830062,0.000583981,4.49E-05,0.005705045,0.009433538,0.004671848,0.013521405
cicero.de_senectute.txt,8271,384,21.5234375,0.5625,5.757412399,0.00193447,0.000362713,0.00193447,0.107604885,0.006045218,0.035424979,0.000725426,0.008705114,0.00580341,0.007496071,0.005319792,0.001813565,0.000725426,0.025027203,0.049449885,0,0.001813565,0.000604522,0.000120904,0.006407931,0.00858421,0.0027808,0.011727723
cicero.divinatio_in_c_verrem.part.1.txt,4637,151,30.69536424,0.609271523,6.442424242,0.00323485,0,0.002372223,0.080871253,0.00517576,0.055855079,0.000431313,0.012723744,0.005391417,0.00323485,0.00388182,0.00905758,0.000215657,0.035152038,0.061462152,0.000215657,0.001078283,0.000215657,0,0.007547984,0.006901014,0.009920207,0.014233341
