,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
23,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.2.txt,8750,594,14.718855218855218,0.3686868686868687,6.033333333333333,15,4,2,755,29,396,4,45,37,62,36,29,5,518,531,0,8,6,4,56,119,15,146
24,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.3.txt,5363,292,18.366438356164384,0.5171232876712328,6.942477876106195,12,2,0,527,13,182,1,41,35,26,26,14,0,401,331,0,2,0,1,10,100,26,99
25,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.4.txt,7165,550,13.025454545454544,0.3381818181818182,6.679012345679013,12,1,0,580,24,279,2,44,37,43,32,15,7,411,477,0,8,4,0,36,84,28,100
26,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.5.txt,7250,564,12.847517730496454,0.3563829787234042,6.526970954356846,13,4,1,599,30,273,8,35,55,30,34,4,3,430,493,1,5,4,0,31,91,27,114
27,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.6.txt,6637,517,12.818181818181818,0.3152804642166344,6.376237623762377,9,0,0,567,26,274,5,38,27,62,25,14,2,396,435,0,8,2,0,25,67,26,82
28,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.7.txt,9139,677,13.485967503692764,0.3500738552437223,6.750809061488673,15,2,0,860,36,431,8,68,65,82,57,24,9,471,623,0,7,9,3,32,126,44,122
29,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.8.txt,7819,464,16.838362068965516,0.4762931034482758,6.972136222910216,15,3,1,699,45,362,5,73,51,51,39,13,3,475,495,1,7,12,2,27,102,30,110
30,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.9.txt,9263,642,14.425233644859814,0.3722741433021806,6.603174603174603,16,0,0,866,29,480,5,45,61,69,46,18,5,532,517,0,15,12,0,42,107,37,139
31,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.10.txt,7430,568,13.068661971830986,0.3644366197183099,6.068100358422939,11,2,1,783,37,338,14,56,59,51,49,23,6,452,461,2,5,10,0,42,143,33,80
32,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.11.txt,6940,504,13.765873015873016,0.5059523809523809,6.8408408408408405,17,0,1,622,13,368,3,47,47,21,38,23,2,434,485,1,8,7,4,33,114,27,112
33,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.12.txt,8910,748,11.909090909090908,0.3796791443850267,5.693181818181818,17,3,0,998,25,366,8,79,56,57,55,33,5,589,564,0,14,5,0,14,187,14,149
