,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
28,Seneca the Younger,Thyestes,drama,seneca.thyestes.txt,6219,360,17.141666666666666,0.1888888888888888,6.102803738317757,4,1,3,467,10,122,9,28,15,109,30,7,8,110,197,0,1,3,0,23,32,3,17
29,Seneca the Younger,Troades,drama,seneca.troades.txt,6734,423,15.81323877068558,0.2174940898345153,5.628099173553719,9,0,0,507,11,153,11,36,10,132,15,9,15,126,156,0,1,0,0,14,30,1,23
30,Terence,Adelphi,drama,terence.adelphi.txt,8177,1067,7.660731021555764,0.1171508903467666,4.975460122699387,16,0,0,521,8,573,15,38,37,317,45,60,27,535,293,1,2,9,0,33,101,12,77
31,Terence,Andria,drama,terence.andria.txt,8180,1184,6.9079391891891895,0.1233108108108108,5.226190476190476,22,0,1,554,11,562,18,36,45,367,38,44,24,588,309,3,5,11,1,43,111,7,121
32,Terence,Eunuchus,drama,terence.eunuchus.txt,8987,1342,6.694485842026825,0.1259314456035767,4.8291457286432165,32,0,0,599,15,623,21,27,57,460,38,76,18,655,298,1,11,11,0,43,100,5,103
33,Terence,Heautontimorumenos,drama,terence.heautontimorumenos.txt,8822,1131,7.802829354553492,0.1671087533156498,4.641350210970464,27,0,2,600,5,583,25,41,63,339,26,72,8,659,316,0,6,15,0,45,113,4,128
34,Terence,Hecyra,drama,terence.hecyra.txt,7394,710,10.412676056338029,0.2323943661971831,5.379310344827586,27,2,1,546,9,481,12,30,52,185,34,30,8,541,293,4,1,11,0,46,90,4,124
35,Terence,Phormio,drama,terence.phormio.txt,8535,1162,7.345955249569707,0.1540447504302926,4.604651162790698,24,0,2,555,8,566,18,50,54,369,34,49,14,578,277,5,6,14,0,36,115,15,126
36,Catullus,Poems 65-116 combined,elegy,catullus.carmina.65_116.txt,4132,202,20.45544554455445,0.4653465346534653,6.924812030075188,3,0,5,318,2,125,6,6,15,32,23,8,8,210,143,0,2,3,0,22,48,1,27
37,Ovid,Amores 1,elegy,ovid.amores.part.1.txt,5002,412,11.990291262135925,0.220873786407767,4.09,0,0,1,393,9,91,15,20,10,53,23,6,2,192,178,0,2,2,0,7,35,1,21
38,Ovid,Amores 2,elegy,ovid.amores.part.2.txt,5283,393,13.25699745547074,0.2442748091603053,5.017857142857143,5,0,0,369,7,122,10,30,9,55,34,11,9,227,203,0,1,1,0,9,53,4,24
39,Ovid,Amores 3,elegy,ovid.amores.part.3.txt,5562,442,12.425339366515836,0.2013574660633484,4.754901960784314,4,0,0,416,9,120,10,23,10,87,25,8,5,203,193,0,1,2,0,10,35,6,20
40,Ovid,Ars Amatoria 1,elegy,ovid.ars_amatoria.part.1.txt,4929,338,14.579881656804734,0.257396449704142,3.743119266055046,3,0,0,391,14,150,9,38,19,35,17,9,2,124,153,0,1,1,0,19,42,10,41
41,Ovid,Ars Amatoria 2,elegy,ovid.ars_amatoria.part.2.txt,4797,331,14.486404833836858,0.2809667673716012,3.775,2,0,1,411,11,136,11,37,13,26,27,8,6,125,156,0,2,1,1,17,44,7,20
42,Ovid,Ars Amatoria 3,elegy,ovid.ars_amatoria.part.3.txt,5174,363,14.25068870523416,0.2534435261707989,4.436893203883495,6,0,0,426,18,119,9,42,12,44,15,10,3,123,190,0,4,2,0,6,38,11,34
43,Ovid,Epistulae ex Ponto 1,elegy,ovid.ex_ponto.part.1.txt,5006,301,16.631229235880397,0.3986710963455149,4.673333333333333,2,0,0,378,13,148,3,25,19,34,35,13,5,207,177,0,1,0,0,11,50,7,57
