,genre,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
ovid.ex_ponto.part.4.txt,elegy,6021,327,18.41284404,0.379204893,5.027932961,0.001494768,0,0,0.082876599,0.000996512,0.027570171,0.001494768,0.004816476,0.002989537,0.00465039,0.002823451,0.002325195,0.000830427,0.044843049,0.038697891,0,0.000166085,0.000498256,0.000166085,0.001993024,0.008304268,0.000996512,0.007141671
ovid.fasti.part.1.txt,elegy,4568,237,19.2742616,0.345991561,5,0.000875657,0,0,0.076619965,0.001751313,0.025175131,0.001313485,0.004597198,0.005035026,0.005035026,0.004816112,0.001751313,0.000218914,0.019702277,0.039842382,0,0.000218914,0,0.000218914,0.002845884,0.003064799,0.000656743,0.007224168
ovid.fasti.part.2.txt,elegy,5425,309,17.55339806,0.229773463,5,0.001105991,0,0,0.078341014,0.001474654,0.028571429,0.00202765,0.0040553,0.003133641,0.005898618,0.0040553,0.000737327,0.000184332,0.016958525,0.040552995,0,0,0,0,0.002764977,0.003870968,0.000552995,0.004976959
ovid.fasti.part.3.txt,elegy,5556,316,17.57278481,0.278481013,4.775700935,0.000179986,0,0.000179986,0.078833693,0.001799856,0.02987761,0.001799856,0.004679626,0.002699784,0.005399568,0.003059755,0.000359971,0.000719942,0.01799856,0.040316775,0,0.000179986,0.000359971,0.000179986,0.002339813,0.005219582,0.000899928,0.005219582
ovid.fasti.part.4.txt,elegy,5980,346,17.2716763,0.219653179,4.976744186,0.000334448,0,0,0.086287625,0.001839465,0.026755853,0.001003344,0.005518395,0.001337793,0.005016722,0.002006689,0.00083612,0,0.016053512,0.034113712,0,0.000167224,0,0,0.002173913,0.005016722,0.001337793,0.004013378
ovid.fasti.part.5.txt,elegy,4601,263,17.48288973,0.220532319,4.666666667,0.00108672,0,0,0.081938709,0.002173441,0.027385351,0.001956097,0.006302978,0.001738752,0.004346881,0.002825473,0.000217344,0.000217344,0.021517062,0.036296457,0,0,0.000217344,0,0.003042817,0.005650945,0.00108672,0.00586829
ovid.fasti.part.6.txt,elegy,5142,301,17.0730897,0.275747508,4.610526316,0.000777907,0,0,0.075845974,0.001555815,0.032477635,0.000194477,0.004861921,0.002528199,0.004861921,0.004472968,0.001166861,0.001361338,0.019642163,0.042007001,0,0.000388954,0,0,0.002722676,0.005639829,0.000388954,0.002528199
ovid.heroides.part.1.1-15.txt,elegy,15605,1223,12.58053966,0.21422731,4.676923077,0.000512656,0,0,0.082089074,0.001345723,0.021339314,0.001922461,0.0057033,0.002114707,0.011727011,0.004998398,0.00128164,0.001217558,0.047228452,0.035052868,0,6.41E-05,0.00032041,0,0.001922461,0.007818007,0.00096123,0.006087792
ovid.heroides.part.2.16-21.txt,elegy,10455,756,13.7037037,0.272486772,4.46090535,0.00095648,0,0,0.082831181,0.002295552,0.028981349,0.002773792,0.003921569,0.004112865,0.01013869,0.005260641,0.003252033,0.001052128,0.056432329,0.031755141,0,9.56E-05,0.000573888,0,0.001339072,0.00966045,0.00095648,0.008417025
ovid.ibis.txt,elegy,4042,213,18.95774648,0.399061033,5.311594203,0,0,0,0.08263236,0.001484414,0.017812964,0.002474023,0.001979218,0.004205839,0.000247402,0.004205839,0.000247402,0,0.029935675,0.040573973,0,0,0,0,0.001731816,0.003463632,0.001484414,0.031172687
ovid.medicamina_faciei_femineae.txt,elegy,613,43,14.25581395,0.325581395,4.5,0,0,0,0.070146819,0,0.009787928,0,0.009787928,0.001631321,0,0.004893964,0,0,0.022838499,0.037520392,0,0,0,0,0.006525285,0.001631321,0,0.001631321
ovid.metamorphoses.part.1.txt,epic,5084,282,18.0248227,0.276595745,5.336842105,0.000786782,0,0.000196696,0.108969315,0.000590087,0.024390244,0.000786782,0.00393391,0.003147128,0.002163651,0.003737215,0.000590087,0.001180173,0.01711251,0.041306058,0,0.000590087,0.000196696,0,0.003343824,0.004327301,0.001376869,0.005114083
